HDI_ranking;COUNTRY;"Human_development_index_(HDI)_value
2005";"Life_expectancy_at_birth
(years)
2005";"Adult_literacy_rate
(% aged 15 and above)
1995-2005b";"Adult_literacy_rate
(% aged 15 and above)
1995-2005b";"Combined_gross_enrolment_ratio_for_primary_secondary_and_tertiary_education
(%)
2005";"GDP_per_capita
(PPP US$)
2005";Life_expectancy_index;Education_index;GDP_index;GDP_per capita_rank_minus_HDI_rankc
90;Philippines;0.771;71.0;92.6;;81.1;5,137;0.767;0.888;0.657;11
91;Tunisia;0.766;73.5;74.3;;76.3;8,371;0.808;0.750;0.739;-23
92;Fiji;0.762;68.3;..;j;74.8;6,049;0.722;0.879;0.685;0
93;Saint Vincent and the Grenadines;0.761;71.1;88.1;q;68.9;6,568;0.768;0.817;0.698;-4
94;Iran (Islamic Republic of);0.759;70.2;82.4;;72.8;7,968;0.754;0.792;0.731;-23
95;Paraguay;0.755;71.3;93.5;l;69.1;4,642;0.771;0.853;0.641;10
96;Georgia;0.754;70.7;100.0;d,v;76.3;3,365;0.761;0.914;0.587;24
97;Guyana;0.750;65.2;..;j;85.0;4,508;0.670;0.943;0.636;12
98;Azerbaijan;0.746;67.1;98.8;;67.1;5,016;0.702;0.882;0.653;4
99;Sri Lanka;0.743;71.6;90.7;w;62.7;4,595;0.776;0.814;0.639;7
100;Maldives;0.741;67.0;96.3;;65.8;5,261;0.701;0.862;0.661;-1
101;Jamaica;0.736;72.2;79.9;;77.9;4,291;0.787;0.792;0.627;11
102;Cape Verde;0.736;71.0;81.2;l;66.4;5,803;0.766;0.763;0.678;-7
103;El Salvador;0.735;71.3;80.6;l;70.4;5,255;0.772;0.772;0.661;-3
104;Algeria;0.733;71.7;69.9;;73.7;7,062;0.778;0.711;0.711;-22
105;Viet Nam;0.733;73.7;90.3;;63.9;3,071;0.812;0.815;0.572;18
106;Occupied Palestinian Territories;0.731;72.9;92.4;;82.4;..;0.799;0.891;0.505;33
107;Indonesia;0.728;69.7;90.4;;68.2;3,843;0.745;0.830;0.609;6
108;Syrian Arab Republic;0.724;73.6;80.8;;64.8;3,808;0.811;0.755;0.607;7
109;Turkmenistan;0.713;62.6;98.8;;..;3,838;0.627;0.903;0.609;5
110;Nicaragua;0.710;71.9;76.7;;70.6;3,674;0.782;0.747;0.601;6
111;Moldova;0.708;68.4;99.1;d,l;69.7;2,1;0.724;0.892;0.508;25
112;Egypt;0.708;70.7;71.4;;76.9;4,337;0.761;0.732;0.629;-1
113;Uzbekistan;0.702;66.8;..;d,j;73.8;2,063;0.696;0.906;0.505;25
114;Mongolia;0.700;65.9;97.8;;77.4;2,107;0.682;0.910;0.509;21
115;Honduras;0.700;69.4;80.0;;71.2;3,43;0.739;0.771;0.590;3
116;Kyrgyzstan;0.696;65.6;98.7;;77.7;1,927;0.676;0.917;0.494;29
117;Bolivia;0.695;64.7;86.7;;86.0;2,819;0.662;0.865;0.557;7
118;Guatemala;0.689;69.7;69.1;;67.3;4,568;0.746;0.685;0.638;-11
119;Gabon;0.677;56.2;84.0;l;72.4;6,954;0.521;0.801;0.708;-35
120;Vanuatu;0.674;69.3;74.0;;63.4;3,225;0.738;0.705;0.580;2
121;South Africa;0.674;50.8;82.4;;77.0;11,11;0.430;0.806;0.786;-65
122;Tajikistan;0.673;66.3;99.5;d;70.8;1,356;0.689;0.896;0.435;32
123;Sao Tome and Principe;0.654;64.9;84.9;;65.2;2,178;0.665;0.783;0.514;10
124;Botswana;0.654;48.1;81.2;;69.5;12,387;0.385;0.773;0.804;-70
125;Namibia;0.650;51.6;85.0;;64.7;7,586;0.444;0.783;0.723;-47
126;Morocco;0.646;70.4;52.3;;58.5;4,555;0.757;0.544;0.637;-18
127;Equatorial Guinea;0.642;50.4;87.0;;58.1;7,874;0.423;0.773;0.729;-54
128;India;0.619;63.7;61.0;;63.8;3,452;0.645;0.620;0.591;-11
129;Solomon Islands;0.602;63.0;76.6;k;47.6;2,031;0.633;0.669;0.503;14
130;Lao People's Democratic Republic;0.601;63.2;68.7;;61.5;2,039;0.637;0.663;0.503;11
131;Cambodia;0.598;58.0;73.6;;60.0;2,727;0.550;0.691;0.552;-6
132;Myanmar;0.583;60.8;89.9;;49.5;1,027;0.596;0.764;0.389;35
133;Bhutan;0.579;64.7;47.0;v;..;..;0.662;0.485;0.589;-14
134;Comoros;0.561;64.1;..;j;46.4;1,993;0.651;0.533;0.499;10
135;Ghana;0.553;59.1;57.9;;50.7;2,48;0.568;0.555;0.536;-8
136;Pakistan;0.551;64.6;49.9;;40.0;2,37;0.659;0.466;0.528;-8
137;Mauritania;0.550;63.2;51.2;;45.6;2,234;0.637;0.493;0.519;-5
138;Lesotho;0.549;42.6;82.2;;66.0;3,335;0.293;0.768;0.585;-17
139;Congo;0.548;54.0;84.7;l;51.4;1,262;0.484;0.736;0.423;16
140;Bangladesh;0.547;63.1;47.5;;56.0;2,053;0.635;0.503;0.504;0
141;Swaziland;0.547;40.9;79.6;;59.8;4,824;0.265;0.730;0.647;-37
142;Nepal;0.534;62.6;48.6;;58.1;1,55;0.626;0.518;0.458;8
143;Madagascar;0.533;58.4;70.7;;59.7;923;0.557;0.670;0.371;27
144;Cameroon;0.532;49.8;67.9;;62.3;2,299;0.414;0.660;0.523;-13
145;Papua New Guinea;0.530;56.9;57.3;;40.7;2,563;0.532;0.518;0.541;-19
146;Haiti;0.529;59.5;..;j;..;1,663;0.575;0.542;0.469;2
147;Sudan;0.526;57.4;60.9;aa;37.3;2,083;0.540;0.531;0.507;-10
148;Kenya;0.521;52.1;73.6;;60.6;1,24;0.451;0.693;0.420;9
149;Djibouti;0.516;53.9;..;j;25.3;2,178;0.482;0.553;0.514;-15
150;Timor-Leste;0.514;59.7;50.1;ab;72.0;..;0.578;0.574;0.390;16
151;Zimbabwe;0.513;40.9;89.4;l;52.4;2,038;0.265;0.770;0.503;-9
152;Togo;0.512;57.8;53.2;;55.0;1,506;0.547;0.538;0.453;-1
153;Yemen;0.508;61.5;54.1;l;55.2;930;0.608;0.545;0.372;16
154;Uganda;0.505;49.7;66.8;;63.0;1,454;0.412;0.655;0.447;-2
155;Gambia;0.502;58.8;..;j;50.1;1,921;0.563;0.450;0.493;-9
156;Senegal;0.499;62.3;39.3;;39.6;1,792;0.622;0.394;0.482;-9
157;Eritrea;0.483;56.6;..;j;35.3;1,109;0.527;0.521;0.402;6
158;Nigeria;0.470;46.5;69.1;l;56.2;1,128;0.359;0.648;0.404;4
159;Tanzania (United Republic of);0.467;51.0;69.4;;50.4;744;0.434;0.631;0.335;15
160;Guinea;0.456;54.8;29.5;;45.1;2,316;0.497;0.347;0.524;-30
161;Rwanda;0.452;45.2;64.9;;50.9;1,206;0.337;0.602;0.416;-1
162;Angola;0.446;41.7;67.4;;25.6;2,335;0.279;0.535;0.526;-33
163;Benin;0.437;55.4;34.7;;50.7;1,141;0.506;0.400;0.406;-2
164;Malawi;0.437;46.3;64.1;;63.1;667;0.355;0.638;0.317;13
165;Zambia;0.434;40.5;68.0;;60.5;1,023;0.259;0.655;0.388;3
166;Côte d'Ivoire;0.432;47.4;48.7;;39.6;1,648;0.373;0.457;0.468;-17
167;Burundi;0.413;48.5;59.3;;37.9;699;0.391;0.522;0.325;9
168;Congo (Democratic Republic of the);0.411;45.8;67.2;;33.7;714;0.346;0.560;0.328;7
169;Ethiopia;0.406;51.8;35.9;;42.1;1,055;0.446;0.380;0.393;-5
170;Chad;0.388;50.4;25.7;;37.5;1,427;0.423;0.296;0.444;-17
171;Central African Republic;0.384;43.7;48.6;;29.8;1,224;0.311;0.423;0.418;-13
172;Mozambique;0.384;42.8;38.7;;52.9;1,242;0.296;0.435;0.421;-16
173;Mali;0.380;53.1;24.0;;36.7;1,033;0.469;0.282;0.390;-8
174;Niger;0.374;55.8;28.7;;22.7;781;0.513;0.267;0.343;-1
175;Guinea-Bissau;0.374;45.8;..;j;36.7;827;0.347;0.421;0.353;-4
176;Burkina Faso;0.370;51.4;23.6;;29.3;1,213;0.440;0.255;0.417;-17
177;Sierra Leone;0.336;41.8;34.8;;44.6;806;0.280;0.381;0.348;-5
